"","Xc1.A","Xc1.R","Xc1.N","Xc1.D","Xc1.C","Xc1.E","Xc1.Q","Xc1.G","Xc1.H","Xc1.I","Xc1.L","Xc1.K","Xc1.M","Xc1.F","Xc1.P","Xc1.S","Xc1.T","Xc1.W","Xc1.Y","Xc1.V","Xc2.lambda.1"
"3C5NA",14.5472774553066,22.7301210239165,14.5472774553066,12.7288677733933,1.81840968191332,9.09204840956662,9.09204840956662,15.4564822962632,2.72761452286998,10.0012532505233,22.7301210239165,10.0012532505233,3.63681936382665,11.8196629324366,12.7288677733933,13.6380726143499,11.8196629324366,1.81840968191332,8.18284356860995,14.5472774553066,0.0907951590433385
"4ZRLB",11.0508993588237,5.52544967941184,5.52544967941184,4.60454139950987,0,4.60454139950987,5.52544967941184,0,1.84181655980395,1.84181655980395,2.76272483970592,2.76272483970592,2.76272483970592,3.68363311960789,1.84181655980395,6.44635795931382,1.84181655980395,0,3.68363311960789,4.60454139950987,0.0790917200980263
"2VXTI",6.45600934339834,7.37829639245524,8.30058344151215,13.8343057358536,0,11.0674445886829,5.53372229434143,5.53372229434143,0.922287049056905,12.9120186867967,10.145157539626,12.9120186867967,5.53372229434143,10.145157539626,5.53372229434143,13.8343057358536,5.53372229434143,0,3.68914819622762,5.53372229434143,0.0777129509430949
"6YPCT",11.0728085852252,20.3001490729129,23.0683512192192,27.682021463063,0,37.8320959995194,20.3001490729129,9.22734048768767,4.61367024384383,23.9910852679879,35.9866279019819,18.4546809753753,6.45913834138137,9.22734048768767,19.3774150241441,28.6047555118318,22.1456171704504,0.922734048768767,5.5364042926126,13.8410107315315,0.0772659512312332
"5D9GA",10.0266583796062,10.0266583796062,5.46908638887612,11.8496871758983,2.73454319443806,22.7878599536505,4.5575719907301,10.9381727777522,9.1151439814602,11.8496871758983,24.6108887499425,16.4072591666284,9.1151439814602,10.9381727777522,10.0266583796062,17.3187735647744,13.6727159721903,2.73454319443806,7.29211518516816,12.7612015740443,0.0884856018539799
"1UNLD",10.1842197941302,10.1842197941302,4.62919081551374,9.25838163102748,6.48086714171924,8.33254346792473,11.110057957233,10.1842197941302,3.70335265241099,5.55502897861649,26.8493067299797,9.25838163102748,3.70335265241099,6.48086714171924,14.813410609644,22.220115914466,7.40670530482199,2.77751448930825,6.48086714171924,12.9617342834385,0.0741618368972516
"3FPZA",29.6005345225339,8.32515033446267,10.175183742121,18.5003340765837,4.62508351914593,13.8752505574378,9.25016703829185,25.9004677072172,11.1002004459502,13.8752505574378,24.975451003388,16.6503006689253,10.175183742121,12.0252171497794,11.1002004459502,24.0504342995588,19.4253507804129,2.77505011148756,6.4751169268043,28.6755178187047,0.0749832961708147
"2RKLA",5.51232301047776,0.918720501746294,1.83744100349259,4.59360250873147,0,3.67488200698518,1.83744100349259,0.918720501746294,0,4.59360250873147,7.34976401397035,6.43104351222406,0.918720501746294,0,0.918720501746294,3.67488200698518,3.67488200698518,0,1.83744100349259,0,0.0812794982537061
"5N86A",7.36503893286871,7.36503893286871,8.28566879947729,5.52377919965153,0,5.52377919965153,5.52377919965153,11.0475583993031,3.68251946643435,7.36503893286871,19.3332271987803,1.84125973321718,1.84125973321718,7.36503893286871,6.44440906626012,13.8094479991288,10.1269285326945,0.920629866608588,1.84125973321718,7.36503893286871,0.0793701333914118
"5MBXA",35.918457141298,21.1826798525604,8.28887472491493,20.2616937720143,7.36788864436883,37.7604293023902,19.3407076914682,39.6024014634825,12.8938051276455,15.6567633692838,53.417192671674,16.5777494498299,6.44690256382273,25.7876102552909,25.7876102552909,35.918457141298,27.6295824163831,9.20986080546104,6.44690256382273,32.2345128191136,0.0790139194538964
