"","prop1.Tr1221","prop1.Tr1331","prop1.Tr2332","prop2.Tr1221","prop2.Tr1331","prop2.Tr2332","prop3.Tr1221","prop3.Tr1331","prop3.Tr2332","prop4.Tr1221","prop4.Tr1331","prop4.Tr2332","prop5.Tr1221","prop5.Tr1331","prop5.Tr2332","prop6.Tr1221","prop6.Tr1331","prop6.Tr2332","prop7.Tr1221","prop7.Tr1331","prop7.Tr2332"
"3MXOA",0.288557213930348,0.17910447761194,0.238805970149254,0.263681592039801,0.203980099502488,0.203980099502488,0.194029850746269,0.263681592039801,0.253731343283582,0.238805970149254,0.169154228855721,0.238805970149254,0.238805970149254,0.0298507462686567,0.17910447761194,0.27363184079602,0.233830845771144,0.114427860696517,0.293532338308458,0.194029850746269,0.174129353233831
"3QIKA",0.17,0.25,0.19,0.23,0.21,0.19,0.2,0.26,0.16,0.21,0.17,0.23,0.27,0.01,0.17,0.23,0.28,0.17,0.32,0.14,0.1
"6WUDB",0.222222222222222,0.259259259259259,0.203703703703704,0.259259259259259,0.166666666666667,0.203703703703704,0.185185185185185,0.277777777777778,0.203703703703704,0.240740740740741,0.148148148148148,0.222222222222222,0.111111111111111,0.037037037037037,0.222222222222222,0.240740740740741,0.0925925925925926,0.259259259259259,0.351851851851852,0.166666666666667,0.12962962962963
"2F6MB",0.240740740740741,0.240740740740741,0.240740740740741,0.324074074074074,0.175925925925926,0.212962962962963,0.212962962962963,0.287037037037037,0.194444444444444,0.305555555555556,0.175925925925926,0.212962962962963,0.12962962962963,0.0740740740740741,0.222222222222222,0.268518518518519,0.231481481481481,0.175925925925926,0.277777777777778,0.240740740740741,0.203703703703704
"6R2WL",0.211267605633803,0.190140845070423,0.190140845070423,0.23943661971831,0.21830985915493,0.140845070422535,0.211267605633803,0.211267605633803,0.190140845070423,0.23943661971831,0.147887323943662,0.211267605633803,0.126760563380282,0.0633802816901408,0.232394366197183,0.232394366197183,0.190140845070423,0.190140845070423,0.302816901408451,0.197183098591549,0.0985915492957746
"2Y9MB",0.232558139534884,0.224806201550388,0.178294573643411,0.24031007751938,0.201550387596899,0.13953488372093,0.170542635658915,0.232558139534884,0.224806201550388,0.178294573643411,0.186046511627907,0.155038759689922,0.209302325581395,0.00775193798449612,0.224806201550388,0.255813953488372,0.24031007751938,0.162790697674419,0.294573643410853,0.131782945736434,0.162790697674419
"4KMDA",0.203160270880361,0.17607223476298,0.259593679458239,0.2686230248307,0.173814898419865,0.160270880361174,0.223476297968397,0.225733634311512,0.200902934537246,0.291196388261851,0.133182844243792,0.200902934537246,0.112866817155756,0.0135440180586907,0.203160270880361,0.203160270880361,0.230248306997743,0.158013544018059,0.216704288939052,0.297968397291196,0.162528216704289
"2GUZB",0.203125,0.375,0.140625,0.171875,0.171875,0.328125,0.078125,0.40625,0.171875,0.1875,0.15625,0.34375,0.25,0.109375,0.203125,0.265625,0.265625,0.109375,0.4375,0.125,0.140625
"2WP7A",0.25748502994012,0.173652694610778,0.275449101796407,0.37125748502994,0.125748502994012,0.179640718562874,0.245508982035928,0.203592814371257,0.227544910179641,0.377245508982036,0.0958083832335329,0.209580838323353,0.101796407185629,0.00598802395209581,0.18562874251497,0.197604790419162,0.227544910179641,0.209580838323353,0.269461077844311,0.25748502994012,0.161676646706587
"4ENZA",0.205827067669173,0.166353383458647,0.238721804511278,0.254699248120301,0.201127819548872,0.205827067669173,0.204887218045113,0.224624060150376,0.190789473684211,0.257518796992481,0.170112781954887,0.236842105263158,0.131578947368421,0.0432330827067669,0.18609022556391,0.241541353383459,0.229323308270677,0.170112781954887,0.222744360902256,0.25,0.149436090225564
"3FWCB",0.238095238095238,0.238095238095238,0.19047619047619,0.214285714285714,0.142857142857143,0.285714285714286,0.119047619047619,0.285714285714286,0.19047619047619,0.214285714285714,0.142857142857143,0.285714285714286,0.166666666666667,0.0714285714285714,0.238095238095238,0.297619047619048,0.130952380952381,0.130952380952381,0.30952380952381,0.154761904761905,0.166666666666667
"5BOWA",0.266666666666667,0.173333333333333,0.233333333333333,0.306666666666667,0.18,0.106666666666667,0.213333333333333,0.193333333333333,0.246666666666667,0.273333333333333,0.16,0.126666666666667,0.173333333333333,0.0266666666666667,0.186666666666667,0.273333333333333,0.22,0.0933333333333333,0.286666666666667,0.213333333333333,0.153333333333333
"1IO0A",0.244565217391304,0.277173913043478,0.206521739130435,0.353260869565217,0.0978260869565217,0.16304347826087,0.206521739130435,0.298913043478261,0.233695652173913,0.347826086956522,0.0815217391304348,0.179347826086957,0.168478260869565,0.00543478260869565,0.179347826086957,0.217391304347826,0.179347826086957,0.184782608695652,0.298913043478261,0.168478260869565,0.222826086956522
"6ONBA",0.266129032258065,0.169354838709677,0.217741935483871,0.225806451612903,0.169354838709677,0.17741935483871,0.169354838709677,0.185483870967742,0.241935483870968,0.241935483870968,0.137096774193548,0.209677419354839,0.153225806451613,0.0241935483870968,0.217741935483871,0.266129032258065,0.217741935483871,0.0887096774193548,0.241935483870968,0.233870967741935,0.193548387096774
"2OBDA",0.214736842105263,0.223157894736842,0.256842105263158,0.305263157894737,0.191578947368421,0.174736842105263,0.246315789473684,0.250526315789474,0.204210526315789,0.305263157894737,0.162105263157895,0.204210526315789,0.136842105263158,0.0147368421052632,0.187368421052632,0.24,0.216842105263158,0.206315789473684,0.286315789473684,0.263157894736842,0.151578947368421
"4QAMB",0.24,0.22,0.22,0.325,0.155,0.145,0.185,0.275,0.225,0.3,0.12,0.18,0.125,0.025,0.295,0.235,0.255,0.125,0.285,0.22,0.175
"3OSTA",0.236220472440945,0.244094488188976,0.15748031496063,0.204724409448819,0.141732283464567,0.251968503937008,0.133858267716535,0.283464566929134,0.21259842519685,0.165354330708661,0.133858267716535,0.259842519685039,0.251968503937008,0.0236220472440945,0.149606299212598,0.31496062992126,0.173228346456693,0.125984251968504,0.322834645669291,0.181102362204724,0.15748031496063
"7KPUA",0.206896551724138,0.270935960591133,0.246305418719212,0.231527093596059,0.211822660098522,0.177339901477833,0.221674876847291,0.305418719211823,0.172413793103448,0.241379310344828,0.192118226600985,0.197044334975369,0.152709359605911,0.0443349753694581,0.216748768472906,0.334975369458128,0.201970443349754,0.142857142857143,0.315270935960591,0.16256157635468,0.16256157635468
"6HFGB",0.205479452054795,0.198630136986301,0.198630136986301,0.287671232876712,0.116438356164384,0.157534246575342,0.191780821917808,0.219178082191781,0.198630136986301,0.335616438356164,0.10958904109589,0.164383561643836,0.150684931506849,0.0136986301369863,0.164383561643836,0.226027397260274,0.212328767123288,0.13013698630137,0.23972602739726,0.246575342465753,0.164383561643836
"3IVVA",0.222222222222222,0.243055555555556,0.201388888888889,0.236111111111111,0.277777777777778,0.152777777777778,0.1875,0.256944444444444,0.208333333333333,0.222222222222222,0.236111111111111,0.194444444444444,0.25,0.0416666666666667,0.145833333333333,0.256944444444444,0.256944444444444,0.145833333333333,0.347222222222222,0.215277777777778,0.118055555555556
"2R16A",0.226519337016575,0.259668508287293,0.232044198895028,0.292817679558011,0.209944751381215,0.176795580110497,0.220994475138122,0.303867403314917,0.215469613259669,0.270718232044199,0.198895027624309,0.187845303867403,0.193370165745856,0.0165745856353591,0.204419889502762,0.25414364640884,0.243093922651934,0.160220994475138,0.359116022099448,0.270718232044199,0.12707182320442
"1PYTA",0.182795698924731,0.333333333333333,0.139784946236559,0.32258064516129,0.10752688172043,0.21505376344086,0.129032258064516,0.365591397849462,0.172043010752688,0.344086021505376,0.0860215053763441,0.236559139784946,0.150537634408602,0.021505376344086,0.236559139784946,0.268817204301075,0.225806451612903,0.118279569892473,0.397849462365591,0.225806451612903,0.118279569892473
"2Q6QA",0.150684931506849,0.452054794520548,0.123287671232877,0.205479452054795,0.0684931506849315,0.315068493150685,0.10958904109589,0.465753424657534,0.136986301369863,0.205479452054795,0.0547945205479452,0.328767123287671,0.273972602739726,0.0821917808219178,0.246575342465753,0.219178082191781,0.232876712328767,0.0821917808219178,0.465753424657534,0.0958904109589041,0.136986301369863
"6VIGA",0.194656488549618,0.194656488549618,0.248091603053435,0.221374045801527,0.187022900763359,0.229007633587786,0.194656488549618,0.255725190839695,0.16030534351145,0.225190839694656,0.175572519083969,0.240458015267176,0.137404580152672,0.0229007633587786,0.183206106870229,0.209923664122137,0.282442748091603,0.110687022900763,0.229007633587786,0.244274809160305,0.16030534351145
"6TUNC",0.0921052631578947,0.381578947368421,0.0921052631578947,0.184210526315789,0.0789473684210526,0.368421052631579,0.0657894736842105,0.434210526315789,0.0394736842105263,0.223684210526316,0.0657894736842105,0.381578947368421,0.210526315789474,0.0789473684210526,0.263157894736842,0.236842105263158,0.157894736842105,0.171052631578947,0.355263157894737,0.105263157894737,0.118421052631579
"5Y59B",0.202020202020202,0.252525252525253,0.191919191919192,0.287878787878788,0.146464646464646,0.186868686868687,0.176767676767677,0.267676767676768,0.186868686868687,0.277777777777778,0.136363636363636,0.196969696969697,0.141414141414141,0.0101010101010101,0.212121212121212,0.212121212121212,0.222222222222222,0.181818181818182,0.267676767676768,0.166666666666667,0.186868686868687
"4ROCA",0.206128133704735,0.206128133704735,0.233983286908078,0.298050139275766,0.164345403899721,0.164345403899721,0.236768802228412,0.220055710306407,0.181058495821727,0.278551532033426,0.13091922005571,0.197771587743733,0.183844011142061,0.0334261838440111,0.139275766016713,0.233983286908078,0.233983286908078,0.128133704735376,0.286908077994429,0.222841225626741,0.125348189415042
"5WRIA",0.225705329153605,0.203761755485893,0.219435736677116,0.238244514106583,0.25705329153605,0.188087774294671,0.22257053291536,0.244514106583072,0.22257053291536,0.22257053291536,0.197492163009404,0.247648902821317,0.22884012539185,0.0250783699059561,0.144200626959248,0.25705329153605,0.25705329153605,0.150470219435737,0.241379310344828,0.216300940438871,0.188087774294671
"6NYQC",0.181141439205955,0.138957816377171,0.295285359801489,0.292803970223325,0.193548387096774,0.121588089330025,0.290322580645161,0.168734491315136,0.176178660049628,0.332506203473945,0.143920595533499,0.1712158808933,0.086848635235732,0.00744416873449132,0.0918114143920596,0.205955334987593,0.267990074441687,0.200992555831266,0.198511166253102,0.28287841191067,0.121588089330025
"6IKNA",0.239393939393939,0.293939393939394,0.148484848484848,0.239393939393939,0.166666666666667,0.254545454545455,0.13030303030303,0.33030303030303,0.209090909090909,0.227272727272727,0.136363636363636,0.284848484848485,0.212121212121212,0.0545454545454545,0.236363636363636,0.209090909090909,0.224242424242424,0.096969696969697,0.336363636363636,0.145454545454545,0.196969696969697
"3F1IC",0.184210526315789,0.328947368421053,0.157894736842105,0.315789473684211,0.131578947368421,0.223684210526316,0.118421052631579,0.368421052631579,0.171052631578947,0.315789473684211,0.105263157894737,0.25,0.0921052631578947,0.0394736842105263,0.315789473684211,0.105263157894737,0.328947368421053,0.0921052631578947,0.276315789473684,0.210526315789474,0.236842105263158
"2CJTA",0.2,0.238461538461538,0.238461538461538,0.315384615384615,0.138461538461538,0.215384615384615,0.223076923076923,0.253846153846154,0.2,0.315384615384615,0.138461538461538,0.215384615384615,0.169230769230769,0.0153846153846154,0.223076923076923,0.292307692307692,0.223076923076923,0.153846153846154,0.323076923076923,0.223076923076923,0.115384615384615
"2PQRC",0.174603174603175,0.158730158730159,0.253968253968254,0.26984126984127,0.158730158730159,0.206349206349206,0.253968253968254,0.222222222222222,0.174603174603175,0.222222222222222,0.142857142857143,0.222222222222222,0.158730158730159,0.0158730158730159,0.111111111111111,0.206349206349206,0.253968253968254,0.142857142857143,0.253968253968254,0.26984126984127,0.0793650793650794
"6J8YA",0.223048327137546,0.200743494423792,0.271375464684015,0.301115241635688,0.20817843866171,0.159851301115242,0.24907063197026,0.237918215613383,0.223048327137546,0.323420074349442,0.163568773234201,0.204460966542751,0.178438661710037,0.0148698884758364,0.156133828996283,0.267657992565056,0.278810408921933,0.104089219330855,0.308550185873606,0.263940520446097,0.115241635687732
"1GS9A",0.292682926829268,0.323170731707317,0.140243902439024,0.304878048780488,0.128048780487805,0.219512195121951,0.128048780487805,0.359756097560976,0.268292682926829,0.280487804878049,0.128048780487805,0.219512195121951,0.24390243902439,0.0182926829268293,0.26219512195122,0.25609756097561,0.225609756097561,0.0365853658536585,0.432926829268293,0.0975609756097561,0.182926829268293
"4L0NA",0.16,0.42,0.14,0.14,0.24,0.26,0.16,0.44,0.14,0.12,0.22,0.28,0.26,0.04,0.32,0.12,0.26,0.08,0.42,0.1,0.16
"5C40A",0.227963525835866,0.155015197568389,0.224924012158055,0.334346504559271,0.151975683890578,0.115501519756839,0.227963525835866,0.170212765957447,0.21580547112462,0.303951367781155,0.127659574468085,0.139817629179331,0.115501519756839,0.0121580547112462,0.17629179331307,0.224924012158055,0.267477203647416,0.151975683890578,0.249240121580547,0.212765957446809,0.133738601823708
"1R6JA",0.222222222222222,0.148148148148148,0.283950617283951,0.308641975308642,0.172839506172839,0.135802469135802,0.259259259259259,0.172839506172839,0.197530864197531,0.308641975308642,0.148148148148148,0.160493827160494,0.135802469135802,0.037037037037037,0.135802469135802,0.185185185185185,0.259259259259259,0.172839506172839,0.222222222222222,0.246913580246914,0.148148148148148
"6SB1A",0.231292517006803,0.200680272108844,0.261904761904762,0.312925170068027,0.197278911564626,0.146258503401361,0.268707482993197,0.22108843537415,0.214285714285714,0.289115646258503,0.159863945578231,0.183673469387755,0.139455782312925,0.0102040816326531,0.149659863945578,0.200680272108844,0.180272108843537,0.227891156462585,0.268707482993197,0.255102040816327,0.163265306122449
"7A3FA",0.217391304347826,0.186176142697882,0.225195094760312,0.220735785953177,0.207357859531773,0.20066889632107,0.197324414715719,0.245261984392419,0.201783723522854,0.224080267558528,0.159420289855072,0.24860646599777,0.16164994425864,0.0256410256410256,0.168338907469342,0.253065774804905,0.239687848383501,0.163879598662207,0.237458193979933,0.246376811594203,0.166109253065775
"4YU8A",0.202898550724638,0.166666666666667,0.304347826086957,0.326086956521739,0.202898550724638,0.152173913043478,0.27536231884058,0.195652173913043,0.217391304347826,0.333333333333333,0.13768115942029,0.217391304347826,0.115942028985507,0.0289855072463768,0.152173913043478,0.253623188405797,0.260869565217391,0.181159420289855,0.253623188405797,0.282608695652174,0.115942028985507
"6W4KB",0.213740458015267,0.320610687022901,0.137404580152672,0.305343511450382,0.106870229007634,0.190839694656489,0.152671755725191,0.351145038167939,0.183206106870229,0.274809160305344,0.0763358778625954,0.221374045801527,0.198473282442748,0.0229007633587786,0.198473282442748,0.282442748091603,0.190839694656489,0.16030534351145,0.404580152671756,0.129770992366412,0.129770992366412
"2ZPTX",0.180272108843537,0.255102040816327,0.214285714285714,0.214285714285714,0.187074829931973,0.231292517006803,0.173469387755102,0.30952380952381,0.146258503401361,0.200680272108844,0.139455782312925,0.27891156462585,0.173469387755102,0.0442176870748299,0.214285714285714,0.272108843537415,0.187074829931973,0.166666666666667,0.272108843537415,0.22108843537415,0.163265306122449
"3T6QC",0.215277777777778,0.222222222222222,0.229166666666667,0.326388888888889,0.166666666666667,0.131944444444444,0.236111111111111,0.256944444444444,0.180555555555556,0.319444444444444,0.131944444444444,0.166666666666667,0.125,0,0.201388888888889,0.208333333333333,0.277777777777778,0.201388888888889,0.298611111111111,0.222222222222222,0.138888888888889
"4CVOA",0.205128205128205,0.294871794871795,0.192307692307692,0.384615384615385,0.0641025641025641,0.141025641025641,0.166666666666667,0.346153846153846,0.153846153846154,0.41025641025641,0.0641025641025641,0.141025641025641,0.102564102564103,0.0256410256410256,0.307692307692308,0.179487179487179,0.269230769230769,0.179487179487179,0.371794871794872,0.141025641025641,0.128205128205128
"1XIWB",0.192307692307692,0.333333333333333,0.217948717948718,0.371794871794872,0.128205128205128,0.141025641025641,0.179487179487179,0.397435897435897,0.153846153846154,0.307692307692308,0.0897435897435897,0.179487179487179,0.179487179487179,0.0512820512820513,0.217948717948718,0.243589743589744,0.205128205128205,0.243589743589744,0.358974358974359,0.230769230769231,0.166666666666667
"4ZGYB",0.208955223880597,0.186567164179104,0.223880597014925,0.171641791044776,0.261194029850746,0.149253731343284,0.201492537313433,0.208955223880597,0.216417910447761,0.156716417910448,0.216417910447761,0.194029850746269,0.186567164179104,0.0373134328358209,0.164179104477612,0.246268656716418,0.23134328358209,0.0970149253731343,0.246268656716418,0.23134328358209,0.149253731343284
"5UUKA",0.172185430463576,0.298013245033113,0.19205298013245,0.231788079470199,0.145695364238411,0.271523178807947,0.185430463576159,0.317880794701987,0.152317880794702,0.225165562913907,0.139072847682119,0.278145695364238,0.158940397350993,0.033112582781457,0.205298013245033,0.298013245033113,0.145695364238411,0.218543046357616,0.344370860927152,0.165562913907285,0.125827814569536
"2Z84A",0.207373271889401,0.142857142857143,0.299539170506912,0.271889400921659,0.202764976958525,0.142857142857143,0.248847926267281,0.202764976958525,0.19815668202765,0.28110599078341,0.161290322580645,0.184331797235023,0.138248847926267,0.0184331797235023,0.147465437788018,0.175115207373272,0.244239631336406,0.184331797235023,0.244239631336406,0.262672811059908,0.105990783410138
"6G7WA",0.239554317548747,0.155988857938719,0.245125348189415,0.292479108635098,0.153203342618384,0.16991643454039,0.228412256267409,0.172701949860724,0.217270194986072,0.284122562674095,0.128133704735376,0.194986072423398,0.13091922005571,0.0250696378830084,0.186629526462396,0.192200557103064,0.245125348189415,0.194986072423398,0.245125348189415,0.197771587743733,0.15041782729805
"7KQQA",0.200636942675159,0.203821656050955,0.229299363057325,0.296178343949045,0.162420382165605,0.162420382165605,0.210191082802548,0.222929936305732,0.207006369426752,0.308917197452229,0.14968152866242,0.17515923566879,0.140127388535032,0.0254777070063694,0.219745222929936,0.194267515923567,0.226114649681529,0.187898089171975,0.292993630573248,0.232484076433121,0.111464968152866
"4WY4C",0.246753246753247,0.194805194805195,0.181818181818182,0.298701298701299,0.12987012987013,0.272727272727273,0.142857142857143,0.233766233766234,0.207792207792208,0.298701298701299,0.12987012987013,0.272727272727273,0.272727272727273,0.0649350649350649,0.220779220779221,0.220779220779221,0.233766233766234,0.12987012987013,0.233766233766234,0.155844155844156,0.207792207792208
